Handle,Title,Tier,VariantSKU,Option1,Option2,Option3,Price
l-shape-reception-72-x-72-x-41-1,"L-Shape Reception - 72"" x 72"" x 41""",B,HTWINVLAYOUT15,Default Title,,,1999.99
multi-storage-cabinet-93365msl,Multi-Storage Cabinet 93365MSL,B,GLB-9336-SMSL,Default Title,,,1389.99
newland-box-file-mobile-pedestal,Newland Box/File Mobile Pedestal NLMP23BF,B,GLBNLMP23BF,Default Title,,,439.99
otg13026-safari-medium-mesh-back-tilter-chair,OTG13026 Safari | Medium Mesh Back Tilter Chair,B,GLO-OTG13026,Default Title,,,249.99
outdoor-steel-bench,Outdoor Steel Bench,B,SCN-NJ200,Default Title,,,1450.00
overtime-350-high-back-heavy-duty-multi-tilter,Overtime 350 | High Back Heavy Duty Multi-Tilter,B,MVL13040,Default Title,,,596.00
overtime-350-high-back-heavy-duty-multi-tilter-mvl13040,Overtime 350 | High Back Heavy Duty Multi-Tilter MVL13040,B,GLO-MVL13040,Default Title,,,699.99
pneumatic-height-adjustable-table,Pneumatic Height Adjustable Table,B,OSP-HAT60241,"23.5"" Deep x 47.25 Wide x 30.25-43.25 High",,,769.99
pneumatic-height-adjustable-table,Pneumatic Height Adjustable Table,B,OSP-HAT60251,"23.5"" Deep x 59.25 Wide x 30.25-43.25 High",,,829.99
pneumatic-height-adjustable-table,Pneumatic Height Adjustable Table,B,OSP-HAT60261,"23.5"" Deep x 70.75 Wide x 30.25-43.25 High",,,899.99
raven-high-back-heavy-duty-synchro-tilter-chair-otg10703b,Raven High Back Heavy Duty Synchro-Tilter Chair OTG10703B,B,GLB-OTG10703B,Default Title,,,499.99
robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475,Robust High Back Multi-Tilter Chair 500lb Weight Capacity GLB74475,B,GLB2526,Default Title,,,1699.99
sirena-lounge-chair-3371,Sirena Lounge Chair,B,GLB3372,2 Seater,,,1236.00
sirena-lounge-chair-3371,Sirena Lounge Chair,B,GLB3373,3 Seater,,,1461.00
sirena-lounge-chair-3371,Sirena Lounge Chair,B,GLB3371,Single Seater,,,699.99
six-31-medium-back-multi-tilter-glbotg11631b,Six 31 | Medium Back Multi-Tilter  GLBOTG11631B,B,GLBOTG11631B,Default Title,,,329.99
u-shape-desk-nlp205,U-Shape Desk NLP205,B,GLB NLP205,Default Title,,,2099.99
ultra-high-back-tilter-with-arms-mvl11730,Ultra | High Back Tilter with Arms MVL11730,B,GLB-MVL11730,Default Title,,,449.99
vion-mesh-high-back-chair-1,VION Mesh High Back Chair,B,GLB-6321-3,Default Title,,,679.00
willow-bariatric-chair,Willow Bariatric Chair,B,"GLB-W530AUU, 02NS, 39WFA",Default Title,,,525.00
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3066SC/FD/21,"30""x66""x21""",,,799.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3066SC/FD/24,"30""x66""x24""",,,799.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3072SC/FD/21,"30""x72""x21""",,,949.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3072SC/FD/24,"30""x72""x24""",,,949.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3078SC/FD/21,"30""x78""x21""",,,1029.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3078SC/FD/24,"30""x78""x24""",,,1029.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3084SC/FD/21,"30""x84""x21""",,,1199.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3084SC/FD/24,"30""x84""x24""",,,1199.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3666SC/FD/21,"36""x66""x21""",,,849.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3666SC/FD/24,"36""x66""x24""",,,849.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3672SC/FD/21,"36""x72""x21""",,,989.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3672SC/FD/24,"36""x72""x24""",,,989.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3678SC/FD/21,"36""x78""x21""",,,1099.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3678SC/FD/24,"36""x78""x24""",,,1099.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3684SC/FD/21,"36""x84""x21""",,,1199.99
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,B,IOF-UN3684SC/FD/24,"36""x84""x24""",,,1199.99
2-drawer-legal-width-vertical-file,2 Drawer Legal Width Vertical File,C,GLB-MVL25251,Default Title,,,329.99
4-drawer-letter-width-vertical-file,4 Drawer Letter Width Vertical File,C,GLB-MVL25401,Default Title,,,395.99
adapt-high-back-synchro-tilter-mvl11724,Adapt | High Back Synchro-Tilter MVL11724,C,GLB-MVL11724,Default Title,,,399.99
amigo-mesh-chair-otg10900blk,Amigo Mesh Chair OTG10900BLK,C,GLBOTG10900BLK,Default Title,,,179.99
anti-fatigue-wellness-mat-36-x-24-5,"Anti-Fatigue Wellness Mat  36"" x 24""",C,FEL74204,Default Title,,,88.99
basics-comfort-time-ultra-multi-tilter-big-tall-chair,Basics® Comfort-Time™ Ultra Multi-Tilter Big & Tall Chair,C,GLB BAOMVL13041G5,Default Title,,,599.99
basics-comfort-time-ultra-multi-tilter-chairs-mvl1873-1,Basics® Comfort-Time™ Ultra Multi-Tilter Chairs MVL1873 MVL1875 (Available with a headrest),C,BAOMVL1873,No Headrest,,,479.99
basics-comfort-time-ultra-multi-tilter-chairs-mvl1873-1,Basics® Comfort-Time™ Ultra Multi-Tilter Chairs MVL1873 MVL1875 (Available with a headrest),C,BAOMVL1874,With Headrest,,,549.99
basics-ergo-boss-executie-back-multi-tilter-chairs-bao28703,Basics® Ergo Boss™ Executie Back Multi-Tilter Chairs BAO28703,C,GLB-BAO28703,Default Title,,,749.99
basics-preto-swivel-tilt-chair-1,Basics® Preto Swivel Tilt Chair,C,GLB-OTG10720,Default Title,,,169.99
bookcase,Bookcase,C,HDL-INV4832BK,Default Title,,,269.99
bookcase-1-shelf-32-wide-x-72-high,"Bookcase - 1"" Shelf 32"" Wide x 72"" High",C,HTWINV7232BK,Default Title,,,380.54
bookcase-15-sizes-available,Bookcase (15 Sizes Available),C,BCMB2429,"24""Wx12""Dx29""H",,,199.99
bookcase-15-sizes-available,Bookcase (15 Sizes Available),C,BCMB2448,"24""Wx12""Dx48""H",,,259.99
bookcase-15-sizes-available,Bookcase (15 Sizes Available),C,BCMB2460,"24""Wx12""Dx60""H",,,319.90
