source_file,line_number,target_url,link_type,classification,shopify_status,redirect_target_if_any,recommended_action,context
theme/snippets/bbi-nav.liquid,720,/collections/quiet-spaces,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/quiet-spaces"">Quiet Spaces</a></li>"
theme/snippets/ds-browse-faq.liquid,208,/collections/quiet-spaces,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""ds-bf-cat-card"" href=""/collections/quiet-spaces"">"
theme/templates/collection.desks.json,34,/collections/reception-desks-desks,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/reception-desks-desks"","
theme/templates/collection.panels-room-dividers.json,18,/collections/room-dividers,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/room-dividers"","
theme/templates/collection.business-furniture.json,10,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/seating"","
theme/templates/page.oecm.json,53,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"""url"": ""/collections/seating"","
theme/sections/ds-lp-brands-ergocentric.liquid,155,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""bbi-btn bbi-btn--secondary bbi-btn--lg"" href=""/collections/seating"">"
theme/sections/ds-lp-brands-ergocentric.liquid,225,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/seating"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-brands-keilhauer.liquid,234,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/seating"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-education.liquid,451,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/seating"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-healthcare.liquid,471,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/seating"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-industries.liquid,821,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""lp-cat-card"" href=""/collections/seating"">"
theme/sections/ds-lp-non-profit.liquid,428,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/seating"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-oecm.liquid,768,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"""url"": ""/collections/seating"","
theme/sections/ds-lp-professional-services.liquid,420,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/seating"" class=""lp-crosslinks__tile"">"
theme/sections/ds-system-404.liquid,137,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/seating"" class=""s404-tile"">"
theme/snippets/bbi-footer.liquid,179,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/seating"">Seating</a></li>"
theme/snippets/bbi-nav.liquid,509,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<li role=""none""><a class=""bbi-nav__dd-link"" href=""/collections/seating"" role=""menuitem"">Seating</a><"
theme/snippets/bbi-nav.liquid,712,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/seating"">Seating</a></li>"
theme/snippets/ds-browse-faq.liquid,173,/collections/seating,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""ds-bf-cat-card"" href=""/collections/seating"">"
theme/templates/collection.quiet-spaces.json,42,/collections/sound-dampeners,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/sound-dampeners"","
theme/templates/collection.seating.json,50,/collections/stacking-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/stacking-seating"","
theme/templates/collection.tables.json,34,/collections/standing-tables,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/standing-tables"","
theme/templates/collection.seating.json,58,/collections/stools,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/stools"","
theme/templates/collection.business-furniture.json,26,/collections/storage,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/storage"","
theme/templates/page.oecm.json,71,/collections/storage,collection,HEALTHY,EXISTS | published=True,,None,"""url"": ""/collections/storage"","
