handle,title,industry_tag,matched_rule,admin_url,notes
craft-wedge-overtable-chrome-leg-1,Craft Wedge Overtable Chrome Leg,industry:business,default,https://admin.shopify.com/store/office-central/products/9103347024185,
craft-curve-120-degree-unit-2,Craft | Curve-120 Degree Unit,industry:business,default,https://admin.shopify.com/store/office-central/products/9769344172345,
craft-rectangle-unit-1,Craft | Rectangle Unit,industry:business,default,https://admin.shopify.com/store/office-central/products/9769341550905,
craft-wedge-unit,Craft | Wedge Unit,industry:business,default,https://admin.shopify.com/store/office-central/products/9769341485369,
credenza-60x20,"Credenza 60""x20""",industry:business,default,https://admin.shopify.com/store/office-central/products/9693064692025,
credenza-lflf-1,Credenza LFLF,industry:business,default,https://admin.shopify.com/store/office-central/products/9763429646649,
credenza-lfmsu,Credenza LFMSU,industry:business,default,https://admin.shopify.com/store/office-central/products/9763460579641,
credenza-scmsu,Credenza SCMSU,industry:business,default,https://admin.shopify.com/store/office-central/products/9763442524473,
credenza-sliding-doors,Credenza Sliding Doors,industry:business,default,https://admin.shopify.com/store/office-central/products/9722789822777,
credenza-storage-hutch,Credenza Storage & Hutch,industry:business,default,https://admin.shopify.com/store/office-central/products/9751461036345,
credenza-storage-storage-with-locks,Credenza Storage / Storage with locks,industry:business,default,https://admin.shopify.com/store/office-central/products/9859466658105,
credenza-with-sliding-doors-36-high,"Credenza with Sliding doors 36"" High",industry:business,default,https://admin.shopify.com/store/office-central/products/9788103917881,
custom-reception-unit-accessories,Custom Reception Unit & Accessories,industry:business,default,https://admin.shopify.com/store/office-central/products/10008720867641,
d-top-table,D-Top Table With or Without Modesty,industry:business,default,https://admin.shopify.com/store/office-central/products/9922963079481,
demeter-mid-back-ergonomic-chair-buyers-choice-award,"DEMETER Mid Back Ergonomic Chair ""Buyers Choice Award""",industry:business,default,https://admin.shopify.com/store/office-central/products/10158668710201,
danio-armless-height-adjustable-task-stool,Danio | Armless Height Adjustable Task Stool,industry:business,default,https://admin.shopify.com/store/office-central/products/9666387116345,
deep-hi-boy-storage-cabinet-72-h-x-36-w-x-24-d,"Deep Hi-Boy Storage Cabinet 72"" H x 36"" W x 24"" D",industry:business,default,https://admin.shopify.com/store/office-central/products/9776398729529,
desk-2-drawer-48-x-24-x-29-1,"Desk - 2-Drawer - 48"" x 24"" x 29""",industry:business,default,https://admin.shopify.com/store/office-central/products/9098360783161,
desk-double-pedestal,Desk Double Pedestal,industry:business,default,https://admin.shopify.com/store/office-central/products/9455162884409,
desk-l-shape-with-drawers,Desk L-Shape with Drawers,industry:business,default,https://admin.shopify.com/store/office-central/products/9455233368377,
desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,"Desk Lamp - 5.30 W LED Bulb - Adjustable - Metal, Acrylic - Desk Mountable",industry:business,default,https://admin.shopify.com/store/office-central/products/9723829223737,
desk-power-grommet,Desk Power Grommet,industry:business,default,https://admin.shopify.com/store/office-central/products/9723863007545,
desk-shell-5-sizes,Desk Shell (5 Sizes),industry:business,default,https://admin.shopify.com/store/office-central/products/9757722313017,
desk-shells,Desk Shells,industry:business,default,https://admin.shopify.com/store/office-central/products/9884899213625,
desk-single-pedestal,Desk Single Pedestal,industry:business,default,https://admin.shopify.com/store/office-central/products/9455188476217,
desk-single-pedestal-bbf,Desk Single Pedestal BBF,industry:business,default,https://admin.shopify.com/store/office-central/products/9688139923769,
desk-top-divider-divide,Desk Top Divider DIVIDE,industry:business,default,https://admin.shopify.com/store/office-central/products/9693141827897,
desk-top-dividers,Desk Top Dividers,industry:business,default,https://admin.shopify.com/store/office-central/products/9693140713785,
desk-top-dividers-1,Desk Top Dividers,industry:business,default,https://admin.shopify.com/store/office-central/products/9942359015737,
desk-u-shape-mlp205-1,Desk U-Shape,industry:business,default,https://admin.shopify.com/store/office-central/products/9039376023865,
desktop-riser-black-2,Desktop Riser Black,industry:business,default,https://admin.shopify.com/store/office-central/products/9103475704121,
desktop-sit-stand-workstation-mvl5230b0,Desktop Sit-Stand Workstation MVL5230B0,industry:business,default,https://admin.shopify.com/store/office-central/products/9782589817145,
display-shelving,Display Shelving,industry:business,default,https://admin.shopify.com/store/office-central/products/9852995436857,
dolly-7,Dolly,industry:business,default,https://admin.shopify.com/store/office-central/products/9103185183033,
dolly-for-sonic-chairs-6517ws,Dolly for Sonic Chairs 6517WS,industry:business,default,https://admin.shopify.com/store/office-central/products/9822363451705,
door-32-x-32-1,"Door - 32"" x 32""",industry:business,default,https://admin.shopify.com/store/office-central/products/9098388799801,
drafting-table,Drafting Table,industry:business,default,https://admin.shopify.com/store/office-central/products/9693071737145,
drafting-table-custom,Drafting Table Custom,industry:business,default,https://admin.shopify.com/store/office-central/products/9693076390201,
drafting-table-precision-table-2-sizes,Drafting Table Precision Table  2 Sizes,industry:business,default,https://admin.shopify.com/store/office-central/products/9693073867065,
drafting-table-safco-vista-drawing-table,Drafting Table Safco Vista Drawing Table,industry:business,default,https://admin.shopify.com/store/office-central/products/9693072687417,
drift-seating,Drift Seating,industry:business,default,https://admin.shopify.com/store/office-central/products/9701172412729,
dual-coloured-bookcase-15-sizes-available,Dual Coloured Bookcase (15 Sizes Available),industry:business,default,https://admin.shopify.com/store/office-central/products/9729952809273,
dual-monitor-arm,Dual Monitor Arm,industry:business,default,https://admin.shopify.com/store/office-central/products/9666433220921,
dual-sided-height-adjustable-table,Dual Sided Height Adjustable Table,industry:business,default,https://admin.shopify.com/store/office-central/products/9665415807289,
elora-multi-tilter-high-back-chair-black-baomvl1893,ELORA Multi-Tilter High Back Chair Black BAOMVL1893,industry:business,default,https://admin.shopify.com/store/office-central/products/9666755526969,
elora-multi-tilter-high-back-chair-black-petite-seat-baomvl1894,ELORA Multi-Tilter High Back Chair Black PETITE SEAT BAOMVL1894,industry:business,default,https://admin.shopify.com/store/office-central/products/9815803887929,
eor-guest-chair-mvl3920b,EOR Guest chair MVL3920B,industry:business,default,https://admin.shopify.com/store/office-central/products/9982113481017,
easy-pull-in-out-keyboard-tray,Easy Pull in & Out Keyboard Tray,industry:business,default,https://admin.shopify.com/store/office-central/products/9666436006201,
echo-3670-3-task-chair,Echo 3670-3 Task Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9666752053561,
echo-medium-back-multi-tilter-3671-3-1,Echo™ Medium Back Multi-Tilter (3671-3),industry:business,default,https://admin.shopify.com/store/office-central/products/9666752708921,
electric-desk-riser-dual-monitor-arm,Electric Desk Riser + Dual Monitor Arm,industry:business,default,https://admin.shopify.com/store/office-central/products/10128802709817,
electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,Electric Dual Monitor Height Adjustable Standing Desk Workstation DC450,industry:business,default,https://admin.shopify.com/store/office-central/products/9103473934649,
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,industry:business,default,https://admin.shopify.com/store/office-central/products/9687458873657,
electric-height-adjustable-standing-desk-workstation-4,Electric Height Adjustable Standing Desk Workstation,industry:business,default,https://admin.shopify.com/store/office-central/products/9103471608121,
electronic-lock-business-safes,Electronic Lock Business Safes,industry:business,default,https://admin.shopify.com/store/office-central/products/9103169388857,
end-table-29-x-29-x-16,"End Table - 29"" x 29"" x 16""",industry:business,default,https://admin.shopify.com/store/office-central/products/9114394001721,
end-table-chrome,End Table Chrome,industry:business,default,https://admin.shopify.com/store/office-central/products/9673683566905,
end-table-glass-top,End Table Glass Top,industry:business,default,https://admin.shopify.com/store/office-central/products/9673700376889,
ergo-boss-high-back-multi-tilter-chair-1,Ergo Boss™ High Back Multi-Tilter Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9666750906681,
ergo-boss-multi-tilter-chair-2,Ergo Boss™ Multi-Tilter Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9768066646329,
