"SECTION","title","handle","type","routable","products_count","add_method","add_instruction","non_routable_reasons"
"SUB_COLLECTIONS","Global Seating","gfg-chairs","smart","Y","45","tag-write-multi","write ALL: ['brand:global-furniture-group', 'type:chairs']",""
"SUB_COLLECTIONS","Global Storage & Filing","gfg-storage","smart","Y","6","tag-write-multi","write ALL: ['brand:global-furniture-group', 'type:storage']",""
"SUB_COLLECTIONS","Global Tables","gfg-tables","smart","Y","10","tag-write-multi","write ALL: ['brand:global-furniture-group', 'type:tables']",""
"SUB_COLLECTIONS","Guest (Seating)","guest-seating","custom","Y","39","collects-post","POST /collects",""
"SUB_COLLECTIONS","Heartwood Desks & Workstations","heartwood-desks","smart","Y","11","tag-write-multi","write ALL: ['brand:heartwood-manufacturing-ltd', 'type:desks']",""
"SUB_COLLECTIONS","Heartwood Storage & Casegoods","heartwood-storage","smart","Y","9","tag-write-multi","write ALL: ['brand:heartwood-manufacturing-ltd', 'type:storage']",""
"SUB_COLLECTIONS","Heartwood Tables","heartwood-tables","smart","Y","6","tag-write-multi","write ALL: ['brand:heartwood-manufacturing-ltd', 'type:tables']",""
"SUB_COLLECTIONS","Height Adjustable Tables","height-adjustable-tables","custom","Y","19","collects-post","POST /collects",""
"SUB_COLLECTIONS","Height Adjustable Tables (Desks)","height-adjustable-tables-desks","custom","Y","21","collects-post","POST /collects",""
"SUB_COLLECTIONS","Highback (Seating)","highback-seating","custom","Y","46","collects-post","POST /collects",""
"SUB_COLLECTIONS","Industrial Seating","industrial-seating","custom","Y","8","collects-post","POST /collects",""
"SUB_COLLECTIONS","Keyboard Trays","keyboard-trays","custom","Y","6","collects-post","POST /collects",""
"SUB_COLLECTIONS","Kids Bookcases","kids-bookcases","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","L-Shape","l-shape","custom","Y","27","collects-post","POST /collects",""
"SUB_COLLECTIONS","L-Shape Desks","l-shape-desks","custom","Y","31","collects-post","POST /collects",""
"SUB_COLLECTIONS","Laminate Bookcases","laminate-bookcases","custom","Y","9","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lateral / Storage Combo (Storage)","lateral-storage-combo-storage","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lateral File Cabinets (Storage)","lateral-file-cabinets-storage","custom","Y","8","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lateral Files (Storage)","lateral-files-storage","custom","Y","7","collects-post","POST /collects",""
"SUB_COLLECTIONS","Leather / Faux (Seating)","leather-faux-seating","custom","Y","32","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lecterns / Podiums","lecterns-podiums","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lecture Hall Seating","lecture-hall-seating","custom","Y","4","collects-post","POST /collects",""
"SUB_COLLECTIONS","Library Study Tables","library-study-tables","custom","Y","11","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lighting","lighting","custom","Y","4","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lockers","lockers","custom","Y","6","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lounge","lounge","custom","Y","10","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lounge & Reception","lounge-reception","smart","Y","16","tag-write","write tag: waiting-room",""
"SUB_COLLECTIONS","Lounge Chairs","lounge-chairs","custom","Y","11","collects-post","POST /collects",""
"SUB_COLLECTIONS","Lounge Chairs (Seating)","lounge-chairs-seating","custom","Y","16","collects-post","POST /collects",""
"SUB_COLLECTIONS","Medium Back (Seating)","medium-back-seating","custom","Y","50","collects-post","POST /collects",""
"SUB_COLLECTIONS","Meeting & Conference Room Tables","meeting-conference-room-tables","custom","Y","10","collects-post","POST /collects",""
"SUB_COLLECTIONS","Meeting Tables","meeting-tables","custom","Y","14","collects-post","POST /collects",""
"SUB_COLLECTIONS","Mesh (Seating)","mesh-seating","custom","Y","45","collects-post","POST /collects",""
"SUB_COLLECTIONS","Metal Vertical Files","metal-vertical-files","custom","Y","6","collects-post","POST /collects",""
"SUB_COLLECTIONS","Mobile Pedestals","mobile-pedestals","custom","Y","8","collects-post","POST /collects",""
"SUB_COLLECTIONS","Monitor Arms","monitor-arms","custom","Y","8","collects-post","POST /collects",""
"SUB_COLLECTIONS","Multi Person Workstations","multi-person-workstations","custom","Y","8","collects-post","POST /collects",""
"SUB_COLLECTIONS","Multi Person Workstations (Desks)","multi-person-workstations-desks","custom","Y","9","collects-post","POST /collects",""
"SUB_COLLECTIONS","ObusForme Seating","obusforme-chairs","smart","Y","6","tag-write-multi","write ALL: ['brand:obusforme', 'type:chairs']",""
"SUB_COLLECTIONS","OECM-Eligible Products","oecm-eligible","smart","Y","645","tag-write","write tag: oecm-eligible",""
"SUB_COLLECTIONS","Office Furniture","office-furniture","custom","Y","4","collects-post","POST /collects",""
